University_clean,University_display
Polytechnic Engineering College,Polytechnic Engineering College
Polytechnic Institute of Brooklyn,Polytechnic Institute of Brooklyn
Pomona College,Pomona College
Pratt Institute,Pratt Institute
Princeton Seminary,Princeton Seminary
Princeton University,Princeton University
Propaganda Fide,Propaganda Fide
Pughy College,Pughy College
Purdue University,Purdue University
Radcliffe College,Radcliffe College
Radio Corporation of America Institute,Radio Corporation of America Institute
Rensselaer Polytechnic Institute,Rensselaer Polytechnic Institute
Rice Institute,Rice Institute
Rochester Institute of Technology,Rochester Mechanical of Technology
Rockford College,Rockford College
Rosary College,Rosary College
Rostock University,Rostock University
Royal Military College,Royal Military College
Royal Polytechnic University of Milan,Royal Polytechnic University of Milan
Rutgers University,Rutgers University
Safair Flying School,Safair Flying School
San Francisco State College,San Francisco State College
San Jose State College,San Jose State College
Santa Barbara State College,Santa Barbara State College
Sarah Lawrence College,Sarah Lawrence College
Scarritt College,Scarritt College
Schauffler College,Schauffler College
Seton Hill College,Seton Hill College
Simmons College,Simmons College
Smith College,Smith College
South Pacific College,South Pacific College
Southern College,Southern College
Southwestern Seminary,Southwestern Seminary
Southwestern University,Southwestern University
Spartan College of Aeronautics and Technology,Spartan College of Aeronautics and Technology
Springfield College,Springfield College
St. John's Hospital,St. John's Hospital
St. Louis College of Pharmacy,St. Louis College of Pharmacy
St. Louis University,St. Louis University
St. Paul's Girls' School,St. Paul's Girls' School
Stanford University,Stanford University
State University of Iowa,State University of Iowa
Stevens Institute of Technology,Stevens Institute of Technology
Sweet Briar College,Sweet Briar College
Syracuse University,Syracuse University
Taliesin Fellowship,Taliesin Fellowship
Technical College of Hanover,Technical College of Hanover
Texas Technical College,Texas Technical College
Tri-State College,Tri-State College
Trinity College of Music,Trinity College of Music
Tufts College,Tufts College
Tulane University,Tulane University
University College,University College
University de Liege,University de Liege
University de Nancy,University de Nancy
University of Arizona,University of Arizona
University of Berlin,University of Berlin
University of Bonn,University of Bonn
University of British Columbia,University of British Columbia
University of Brussels,University of Brussels
University of California,University of California
University of Chicago,University of Chicago
University of Cincinnati,University of Cincinnati
University of Colorado,University of Colorado
University of Connecticut,University of Connecticut
University of Costa Rica,University of Costa Rica
University of Denver,University of Denver
University of Detroit,University of Detroit
University of Dubuque,University of Dubuque
University of Edinburgh,University of Edinburgh
University of Geneva,University of Geneva
University of Hawaii,University of Hawaii
University of Hong Kong,University of Hong Kong
University of Houston,University of Houston
University of Illinois,University of Illinois
University of Iowa,University of Iowa
University of Kansas,University of Kansas
University of Kentucky,University of Kentucky
University of London,University of London
University of Lyon,University of Lyon
University of Maine,University of Maine
University of Maryland,University of Maryland
University of Michigan,University of Michigan
University of Minnesota,University of Minnesota
University of Missouri,University of Missouri
University of Nebraska,University of Nebraska
University of Nevada,University of Nevada
University of North Carolina,University of North Carolina
University of Notre Dame,University of Notre Dame
University of Oklahoma,University of Oklahoma
University of Oregon,University of Oregon
University of Paris,University of Paris
University of Pennsylvania,University of Pennsylvania
University of Perugia,University of Perugia
University of Pittsburgh,University of Pittsburgh
University of Richmond,University of Richmond
University of Rochester,University of Rochester
University of San Francisco,University of San Francisco
University of Santo Tomas,University of Santo Tomas
University of Southern California,University of Southern California
University of Tennessee,University of Tennessee
University of Texas,University of Texas
University of the Philippines,University of the Philippines
University of Toledo,University of Toledo
University of Toronto,University of Toronto
University of Tulsa,University of Tulsa
University of Turin,University of Turin
University of Virginia,University of Virginia
University of Washington,University of Washington
University of Wisconsin,University of Wisconsin
Vassar College,Vassar College
Virginia Polytechnic Institute,Virginia Polytechnic Institute
Viterbo College,Viterbo College
Washington & Jefferson College,Washington & Jefferson College
Washington Missionary College,Washington Missionary College
Washington State College,Washington State College
Washington University,Washington University
Wayne University,Wayne University
Wellesley College,Wellesley College
Wentworth Institute,Wentworth Institute
Western Maryland College,Western Maryland College
Western Reserve University,Western Reserve University
Westminster Choir College,Westminster Choir College
Westmont College,Westmont College
Wheaton College,Wheaton College
Wheelock College,Wheelock College
Williams Hospital,Williams Hospital
Witwatersrand College,Witwatersrand College
Women's Christian Medical College,Women's Christian Medical College
Worcester Polytechnic Institute,Worcester Polytechnic Institute
Yale University,Yale University
Yungli Chemical Industries Limited,Yungli Chemical Industries Limited
École Libre des Sciences Politiques,École Libre des Sciences Politiques
Shanghai Sanyu University,三育大學
Shanghai Xinhua University of Art,上海新華藝術大學
Shanghai Medical College,上海醫學院
Sino-Russian Industrial University,中俄工業大學
China Public School,中國公學
China College University Department,中國公學大學部
China University,中國大學
China Academy,中國學院
Central University,中央大學
Central Political School,中央政治學校
Central Army Military Academy,中央陸軍軍官學校
Zhongshan University,中山大學
Sino-French University,中法大學
Zhonghua University,中華大學
Zhijiang University,之江大學
Aachen Technical University,亞享工科大學
Jiaotong University,交通大學
Peking Metropolitan University,京師大學
Guanghua University,光華大學
Guanghua Medical College,光華醫學院
Beijing University,北京大學
Peiping Minguo University,北平民國大學
Peiping College of Finance and Commerce,北平財政商業專門學校
Beiyang University,北洋大學
Peking Union Medical College,協和醫學院
Nanking Higher Normal School,南京高等師範學校
Nankai University,南開大學
Nankai School,南開學校
Wusong Merchant Shipping School,吳淞商船學校
Tangshan Chiao Tung University,唐山交通大學
National College of Music,國主音樂專科學校
National Guangdong Specialized School,國立廣東專門學校
National Defense Planning Commission,國防設計委員會
Datong University,大同大學
Daxia University,大夏大學
Tianjin University,天津大學
Tianjin Industrial and Commercial College,天津工商學院
Tientsin Institute of Commerce,天津工商學院學
Anhui University,安徽大學
Shandong University,山東大學
Lingnan University,嶺南大學
Normal University,師範大學
Xiamen University,廈門大學
Guangzhou University,廣州大學
Guangdong National University,廣東國民大學
Guangdong College of Law,廣東法學院
Guangdong Provincial Technical College,廣東省立工業專門學校
Guangxi University,廣西大學
Guangxi Aviation School,廣西航空學校
Fudan University,復旦大學
Technical University Berlin,德國££工£大學
Chengdu Sino-French University,成都中法大學
Zhizhi College,持誌學院
Nihon University,日本大學
Jinan University,暨南大學
Tokyo University of Commerce,東京商科大學
Tokyo Imperial University,東京帝國大學
Northeast University,東北大學
Southeast University,東南大學
Wuchang University,武昌大學
Wuhan University,武漢大學
Hebei University,河北大學
Hebei Institute of Technology,河北工學院
Hebei Provincial Institute of Technology,河北省立工業學院
Henan University,河南大學
Jiaozuo Institute of Technology,河南焦作工學院
Zhejiang University,浙江大學
Zhejiang Provincial Technical College,浙江省立工業專門學校
Naval school,海軍學校
Tsinghua University,清華大學
Hunan University,湖南大學
Shanghai University,滬江大學
Yenching University,燕京大學
Foochow College,福州學院
Fujian Union University,福建協和大學
Taxation College,稅務專門學校
Air Force Technical College,空軍技術專門學校
St. John's University,聖約翰大學
Huazhong University,華中大學
Hwa Nan College,華南學院
West China Union University,華西協和大學
West China University,華西大學
Southwest Associated University,西南聯合大學
Fu-jen University,輔仁大學
Chongqing University,重慶大學
Jinling University,金陵大學
Ginling College,金陵女子文理學院
Army University,陸軍大學
Army Mechanization School,陸軍機械化學校
Army Signal Corps School,陸軍通信兵學校
Yunnan University,雲南大學
Aurora University,震旦大學
Qilu University,齊魯大學
