student,source,source_display,target,target_display,source_year,target_year,source_levels,target_levels,source_country,target_country
N00419,Mount Holyoke College,Mount Holyoke College,University of North Carolina,University of North Carolina,1941,1942,['Bachelor'],['Unspecified'],US,US
N00420,Jinling University,金陵大學,University of Minnesota,University of Minnesota,1938,1943,['Unspecified'],['Unspecified'],China,US
N00421,Columbia University,Columbia University,University of Missouri,University of Missouri,1927,1932,['Unspecified'],['Bachelor'],US,US
N00422,Yenching University,燕京大學,Harvard University,Harvard University,1928,1930,['Unspecified'],['Master'],China,US
N00424,St. John's University,聖約翰大學,New York University,New York University,1937,1942,['Unspecified'],['Master'],China,US
N00424,New York University,New York University,Harvard University,Harvard University,1942,1943,['Master'],['Unspecified'],US,US
N00426,University of Notre Dame,University of Notre Dame,University of Chicago,University of Chicago,1941,1943,['Bachelor'],['Unspecified'],US,US
N00427,Southeast University,東南大學,Indiana University,Indiana University,1940,1941,['Unspecified'],['Doctorate'],China,US
N00427,Indiana University,Indiana University,Radcliffe College,Radcliffe College,1941,1943,['Doctorate'],['Unspecified'],US,US
N00428,St. John's University,聖約翰大學,St. Louis University,St. Louis University,1942,1943,['Unspecified'],['Doctorate'],China,US
N00431,Fujian Union University,福建協和大學,St. John's University,聖約翰大學,1929,1934,['Unspecified'],['Doctorate'],China,China
N00431,St. John's University,聖約翰大學,University of Minnesota,University of Minnesota,1934,1943,['Doctorate'],['Master'],China,US
N00434,Zhongshan University,中山大學,University of Michigan,University of Michigan,1937,1940,['Unspecified'],['Bachelor'],China,US
N00434,University of Michigan,University of Michigan,Purdue University,Purdue University,1940,1941,['Bachelor'],['Unspecified'],US,US
N00436,Lingnan University,嶺南大學,Kansas State College,Kansas State College,1935,1941,['Unspecified'],['Master'],China,US
N00436,Kansas State College,Kansas State College,Columbia University,Columbia University,1941,1943,['Master'],['Unspecified'],US,US
N00437,University of Michigan,University of Michigan,Harvard University,Harvard University,1939,1941,['Bachelor'],['Master'],US,US
N00439,Central Political School,中央政治學校,University of Washington,University of Washington,1938,1943,['Unspecified'],['Unspecified'],China,US
N00440,Yenching University,燕京大學,Harvard University,Harvard University,1935,1943,['Unspecified'],['Unspecified'],China,US
N00441,Creighton University,Creighton University,University of California,University of California,1935,1937,['Bachelor'],['Unspecified'],US,US
N00442,St. John's University,聖約翰大學,University of Michigan,University of Michigan,1940,1941,['Unspecified'],['Master'],China,US
N00443,Jiaotong University,交通大學,Massachusetts Institute of Technology,Massachusetts Institute of Technology,1941,1943,['Unspecified'],['Unspecified'],China,US
N00444,University of California,University of California,University of Washington,University of Washington,1940,1943,['Unspecified'],['Unspecified'],US,US
N00445,Jiaotong University,交通大學,Massachusetts Institute of Technology,Massachusetts Institute of Technology,1940,1942,['Unspecified'],['Unspecified'],China,US
N00446,Jiaotong University,交通大學,New School For Social Research,New School For Social Research,1931,1935,['Unspecified'],['Unspecified'],China,US
N00446,Jiaotong University,交通大學,New York University,New York University,1931,1935,['Unspecified'],['Doctorate'],China,US
N00447,University of Michigan,University of Michigan,University of Chicago,University of Chicago,1938,1942,['Master'],['Doctorate'],US,US
N00451,Central Political School,中央政治學校,Louisiana State University,Louisiana State University,1933,1942,['Unspecified'],['Master'],China,US
N00452,Jiaotong University,交通大學,University of Michigan,University of Michigan,1934,1940,['Unspecified'],['Master'],China,US
N00457,Datong University,大同大學,St. John's Hospital,St. John's Hospital,1928,1942,['Unspecified'],['Unspecified'],China,China
N00459,St. John's University,聖約翰大學,Purdue University,Purdue University,1941,1943,['Unspecified'],['Unspecified'],China,US
N00461,North Dakota State College,North Dakota State College,College of the Pacific,College of the Pacific,1939,1943,['Bachelor'],['Master'],US,US
N00466,University of Arizona,University of Arizona,University of California,University of California,1942,1943,['Bachelor'],['Unspecified'],US,US
N00466,University of Arizona,University of Arizona,University of Michigan,University of Michigan,1942,1943,['Bachelor'],['Unspecified'],US,US
N00467,Fudan University,復旦大學,University of Illinois,University of Illinois,1927,1943,['Unspecified'],['Doctorate'],China,US
N00468,Peiping Minguo University,北平民國大學,Tokyo University of Commerce,東京商科大學,1933,1937,['Unspecified'],['Unspecified'],China,Other
N00469,Aurora University,震旦大學,International University,International University,1930,1937,['Unspecified'],['Master'],China,Other
N00469,International University,International University,Loyola University,Loyola University,1937,1943,['Master'],['Unspecified'],Other,US
N00471,Yenching University,燕京大學,University of California,University of California,1935,1940,['Unspecified'],['Master'],China,US
N00471,University of California,University of California,Columbia University,Columbia University,1940,1942,['Master'],['Doctorate'],US,US
N00474,Aurora University,震旦大學,Catholic University of America,Catholic University of America,1935,1940,['Unspecified'],['Master'],China,US
N00474,Catholic University of America,Catholic University of America,Loyola University,Loyola University,1940,1943,['Master'],['Unspecified'],US,US
N00475,Yenching University,燕京大學,Tsinghua University,清華大學,1936,1937,['Unspecified'],['Unspecified'],China,China
N00477,Central University,中央大學,University of Edinburgh,University of Edinburgh,1936,1940,['Unspecified'],['Master'],China,Other
N00481,Wellesley College,Wellesley College,University of Michigan,University of Michigan,1931,1939,['Bachelor'],['Doctorate'],US,US
N00481,University of Michigan,University of Michigan,Texas Technical College,Texas Technical College,1939,1943,['Doctorate'],['Unspecified'],US,US
N00483,University of Colorado,University of Colorado,Cornell University,Cornell University,1942,1943,['Bachelor'],['Unspecified'],US,US
N00483,University of Colorado,University of Colorado,Massachusetts Institute of Technology,Massachusetts Institute of Technology,1942,1943,['Bachelor'],['Unspecified'],US,US
N00484,Tsinghua University,清華大學,Massachusetts Institute of Technology,Massachusetts Institute of Technology,1938,1943,['Unspecified'],['Unspecified'],China,US
N00485,Zhijiang University,之江大學,California Institute of Technology,California Institute of Technology,1936,1943,['Unspecified'],['Master'],China,US
N00488,University of Santo Tomas,University of Santo Tomas,Colorado School of Mines,Colorado School of Mines,1939,1943,['Bachelor'],['Master'],Other,US
N00490,Yenching University,燕京大學,Penn State College,Penn State College,1934,1939,['Unspecified'],['Doctorate'],China,US
N00493,Hwa Nan College,華南學院,Morningside Conservatory of Music,Morningside Conservatory of Music,1937,1940,['Unspecified'],['Bachelor'],China,US
N00493,Morningside Conservatory of Music,Morningside Conservatory of Music,Westminster Choir College,Westminster Choir College,1940,1943,['Bachelor'],['Unspecified'],US,US
N00495,Jiaotong University,交通大學,University of Illinois,University of Illinois,1928,1943,['Unspecified'],['Unspecified'],China,US
N00497,Tsinghua University,清華大學,University of Toronto,University of Toronto,1937,1941,['Unspecified'],['Master'],China,Other
N00497,University of Toronto,University of Toronto,California Institute of Technology,California Institute of Technology,1941,1943,['Master'],['Unspecified'],Other,US
N00499,University of Hawaii,University of Hawaii,Purdue University,Purdue University,1941,1943,['Unspecified'],['Unspecified'],US,US
N00500,Foochow College,福州學院,Forest Park University,Forest Park University,1909,1911,['Unspecified'],['Master'],China,US
N00500,Forest Park University,Forest Park University,University of Illinois,University of Illinois,1911,1915,['Master'],['Doctorate'],US,US
N00501,Fujian Union University,福建協和大學,Oberlin College,Oberlin College,1926,1932,['Unspecified'],['Unspecified'],China,US
N00501,Oberlin College,Oberlin College,University of Chicago,University of Chicago,1932,1935,['Unspecified'],['Doctorate'],US,US
N00501,Oberlin College,Oberlin College,Yale University,Yale University,1932,1935,['Unspecified'],['Unspecified'],US,US
N00507,Tsinghua University,清華大學,University of Wisconsin,University of Wisconsin,1937,1940,['Unspecified'],['Bachelor'],China,US
N00507,University of Wisconsin,University of Wisconsin,Columbia University,Columbia University,1940,1942,['Bachelor'],['Master'],US,US
N00507,Columbia University,Columbia University,Yale University,Yale University,1942,1943,['Master'],['Unspecified'],US,US
N00510,Jinling University,金陵大學,McGill University,McGill University,1940,1942,['Unspecified'],['Master'],China,Other
N00514,Oberlin College,Oberlin College,Michigan State College,Michigan State College,1935,1942,['Unspecified'],['Master'],US,US
N00518,Shanghai University,滬江大學,Southwestern Seminary,Southwestern Seminary,1935,1941,['Unspecified'],['Unspecified'],China,US
N00518,Southwestern Seminary,Southwestern Seminary,George Peabody College,George Peabody College,1941,1942,['Unspecified'],['Unspecified'],US,US
N00518,George Peabody College,George Peabody College,University of Colorado,University of Colorado,1942,1943,['Unspecified'],['Unspecified'],US,US
N00520,Tsinghua University,清華大學,Massachusetts Institute of Technology,Massachusetts Institute of Technology,1940,1943,['Unspecified'],['Master'],China,US
N00521,Jiaotong University,交通大學,Purdue University,Purdue University,1939,1940,['Unspecified'],['Master'],China,US
N00522,Tsinghua University,清華大學,Massachusetts Institute of Technology,Massachusetts Institute of Technology,1936,1939,['Unspecified'],['Master'],China,US
N00523,Central University,中央大學,Cambridge University,Cambridge University,1937,1941,['Unspecified'],['Bachelor'],China,Other
N00524,Beijing University,北京大學,Oregon State College,Oregon State College,1936,1943,['Unspecified'],['Unspecified'],China,US
N00525,Jiaotong University,交通大學,Cornell University,Cornell University,1939,1943,['Unspecified'],['Unspecified'],China,US
N00525,Jiaotong University,交通大學,University of Pennsylvania,University of Pennsylvania,1939,1943,['Unspecified'],['Master'],China,US
N00528,St. John's University,聖約翰大學,University of California,University of California,1938,1942,['Unspecified'],['Master'],China,US
N00528,University of California,University of California,University of Michigan,University of Michigan,1942,1943,['Master'],['Unspecified'],US,US
N00530,University of Detroit,University of Detroit,University of Michigan,University of Michigan,1940,1942,['Bachelor'],['Master'],US,US
N00531,Tsinghua University,清華大學,University of Michigan,University of Michigan,1939,1940,['Unspecified'],['Master'],China,US
N00532,Jinling University,金陵大學,University of California,University of California,1930,1936,['Unspecified'],['Master'],China,US
N00532,University of California,University of California,University of Chicago,University of Chicago,1936,1943,['Master'],['Unspecified'],US,US
N00533,West China University,華西大學,Syracuse University,Syracuse University,1935,1937,['Unspecified'],['Master'],China,US
N00533,Syracuse University,Syracuse University,Columbia University,Columbia University,1937,1943,['Master'],['Unspecified'],US,US
N00536,Fudan University,復旦大學,Cornell University,Cornell University,1941,1943,['Unspecified'],['Master'],China,US
N00537,Tsinghua University,清華大學,University of Michigan,University of Michigan,1940,1942,['Unspecified'],['Master'],China,US
N00538,Tsinghua University,清華大學,University of Michigan,University of Michigan,1940,1943,['Unspecified'],['Unspecified'],China,US
N00539,Fu-jen University,輔仁大學,University of Washington,University of Washington,1941,1942,['Unspecified'],['Unspecified'],China,US
N00539,University of Washington,University of Washington,Columbia University,Columbia University,1942,1943,['Unspecified'],['Unspecified'],US,US
N00540,Beijing University,北京大學,Columbia University,Columbia University,1932,1943,['Unspecified'],['Unspecified'],China,US
N00541,Nankai University,南開大學,Harvard University,Harvard University,1940,1943,['Unspecified'],"['Master', 'Unspecified']",China,US
N00542,Yenching University,燕京大學,Columbia University,Columbia University,1940,1943,['Unspecified'],['Unspecified'],China,US
N00542,Yenching University,燕京大學,University of Wisconsin,University of Wisconsin,1940,1943,['Unspecified'],['Unspecified'],China,US
N00545,University of California,University of California,University of Minnesota,University of Minnesota,1930,1940,['Bachelor'],['Master'],US,US
N00546,St. John's University,聖約翰大學,University of Michigan,University of Michigan,1940,1941,['Unspecified'],['Master'],China,US
N00548,University of Hong Kong,University of Hong Kong,University of California,University of California,1940,1943,['Unspecified'],['Bachelor'],Other,US
N00550,Southwest Associated University,西南聯合大學,Cornell University,Cornell University,1938,1942,['Unspecified'],['Bachelor'],China,US
N00553,Yenching University,燕京大學,Columbia University,Columbia University,1937,1940,['Unspecified'],['Master'],China,US
N00553,Columbia University,Columbia University,University of Chicago,University of Chicago,1940,1943,['Master'],['Unspecified'],US,US
N00554,Yenching University,燕京大學,Columbia University,Columbia University,1938,1940,['Unspecified'],['Master'],China,US
N00555,Jiaotong University,交通大學,University of Michigan,University of Michigan,1940,1941,['Unspecified'],['Master'],China,US
N00556,Tsinghua University,清華大學,Zhejiang University,浙江大學,1938,1942,['Unspecified'],['Unspecified'],China,China
N00556,Zhejiang University,浙江大學,University of California,University of California,1942,1943,['Unspecified'],['Unspecified'],China,US
N00557,Jinan University,暨南大學,University of Michigan,University of Michigan,1938,1940,['Unspecified'],['Master'],China,US
N00557,University of Michigan,University of Michigan,University of Southern California,University of Southern California,1940,1943,['Master'],['Unspecified'],US,US
N00558,Tsinghua University,清華大學,California Institute of Technology,California Institute of Technology,1936,1943,['Unspecified'],['Unspecified'],China,US
N00558,Tsinghua University,清華大學,Institute for Advanced Study,Institute for Advanced Study,1936,1943,['Unspecified'],['Unspecified'],China,US
N00560,Shanghai University,滬江大學,Florida Southern College,Florida Southern College,1938,1943,['Unspecified'],['Bachelor'],China,US
N00560,Shanghai University,滬江大學,University of Michigan,University of Michigan,1938,1943,['Unspecified'],['Unspecified'],China,US
N00561,Jiaotong University,交通大學,Rensselaer Polytechnic Institute,Rensselaer Polytechnic Institute,1939,1940,['Unspecified'],['Master'],China,US
N00561,Rensselaer Polytechnic Institute,Rensselaer Polytechnic Institute,California Institute of Technology,California Institute of Technology,1940,1942,['Master'],['Unspecified'],US,US
N00561,Rensselaer Polytechnic Institute,Rensselaer Polytechnic Institute,Massachusetts Institute of Technology,Massachusetts Institute of Technology,1940,1942,['Master'],['Doctorate'],US,US
N00562,Zhijiang University,之江大學,University of Michigan,University of Michigan,1940,1942,['Unspecified'],['Master'],China,US
N00562,University of Michigan,University of Michigan,University of Illinois,University of Illinois,1942,1943,['Master'],['Unspecified'],US,US
N00563,Lingnan University,嶺南大學,Harvard University,Harvard University,1941,1943,['Unspecified'],['Unspecified'],China,US
N00569,Wheaton College,Wheaton College,State University of Iowa,State University of Iowa,1942,1943,['Unspecified'],['Unspecified'],US,US
N00570,Goucher College,Goucher College,University of Chicago,University of Chicago,1942,1943,['Bachelor'],['Unspecified'],US,US
N00571,Central University,中央大學,Columbia University,Columbia University,1929,1934,['Unspecified'],['Master'],China,US
N00572,Tsinghua University,清華大學,University of Minnesota,University of Minnesota,1935,1943,['Unspecified'],['Unspecified'],China,US
N00574,Tsinghua University,清華大學,Massachusetts Institute of Technology,Massachusetts Institute of Technology,1912,1917,['Unspecified'],['Unspecified'],China,US
N00574,Massachusetts Institute of Technology,Massachusetts Institute of Technology,Columbia University,Columbia University,1917,1921,['Unspecified'],['Doctorate'],US,US
N00575,Zhijiang University,之江大學,University of Colorado,University of Colorado,1937,1938,['Unspecified'],['Unspecified'],China,US
N00575,University of Colorado,University of Colorado,Montana State College,Montana State College,1938,1943,['Unspecified'],['Unspecified'],US,US
N00577,Catholic University of America,Catholic University of America,Western Maryland College,Western Maryland College,1940,1943,['Unspecified'],['Unspecified'],US,US
N00579,Shanghai University,滬江大學,Columbia University,Columbia University,1932,1940,['Unspecified'],['Unspecified'],China,US
N00580,Jiaotong University,交通大學,California Institute of Technology,California Institute of Technology,1936,1941,['Unspecified'],['Master'],China,US
N00581,Yenching University,燕京大學,American National University,NationaI University,1939,1940,['Unspecified'],['Master'],China,US
N00581,American National University,NationaI University,New York University,New York University,1940,1943,['Master'],['Unspecified'],US,US
N00583,Jiaotong University,交通大學,Purdue University,Purdue University,1935,1940,['Unspecified'],['Master'],China,US
N00584,Yenching University,燕京大學,Harvard University,Harvard University,1937,1943,['Unspecified'],['Unspecified'],China,US
N00585,University of London,University of London,Purdue University,Purdue University,1940,1942,['Unspecified'],['Bachelor'],Other,US
N00586,Manchester University,Manchester University,North Carolina State College,North Carolina State College,1939,1942,['Unspecified'],['Bachelor'],US,US
N00587,Tianjin Industrial and Commercial College,天津工商學院,University of Michigan,University of Michigan,1938,1942,['Unspecified'],['Master'],China,US
N00588,Yenching University,燕京大學,University of Pennsylvania,University of Pennsylvania,1936,1941,['Unspecified'],['Master'],China,US
N00591,Tsinghua University,清華大學,University of Toronto,University of Toronto,1936,1941,['Unspecified'],['Master'],China,Other
N00591,University of Toronto,University of Toronto,Princeton University,Princeton University,1941,1943,['Master'],['Unspecified'],Other,US
N00592,Albion College,Albion College,University of Michigan,University of Michigan,1934,1937,['Bachelor'],['Bachelor'],US,US
N00593,University of Santo Tomas,University of Santo Tomas,Colorado School of Mines,Colorado School of Mines,1941,1943,['Unspecified'],['Master'],Other,US
N00594,Yenching University,燕京大學,Columbia University,Columbia University,1941,1943,['Unspecified'],['Unspecified'],China,US
N00594,Yenching University,燕京大學,Mills College,Mills College,1941,1943,['Unspecified'],['Unspecified'],China,US
N00595,Yenching University,燕京大學,Rockford College,Rockford College,1941,1943,['Unspecified'],['Unspecified'],China,US
N00596,Atlantic Union College,Atlantic Union College,Fordham University,Fordham University,1940,1943,['Unspecified'],['Unspecified'],US,US
N00598,Oberlin College,Oberlin College,Guilford College,Guilford College,1942,1943,['Unspecified'],['Unspecified'],US,US
N00599,Beijing University,北京大學,Oberlin College,Oberlin College,1940,1942,['Unspecified'],['Bachelor'],China,US
N00599,Oberlin College,Oberlin College,Columbia University,Columbia University,1942,1943,['Bachelor'],['Master'],US,US
N00600,Shanghai University,滬江大學,Cornell University,Cornell University,1938,1942,['Unspecified'],['Unspecified'],China,US
N00600,Shanghai University,滬江大學,Haverford College,Haverford College,1938,1942,['Unspecified'],['Bachelor'],China,US
N00600,Cornell University,Cornell University,Columbia University,Columbia University,1942,1943,['Unspecified'],['Unspecified'],US,US
N00600,Haverford College,Haverford College,Columbia University,Columbia University,1942,1943,['Bachelor'],['Unspecified'],US,US
N00602,Central University,中央大學,University of Minnesota,University of Minnesota,1934,1941,['Unspecified'],['Master'],China,US
N00603,Jiaotong University,交通大學,North American Institute of Aviation,North American Institute of Aviation,1930,1937,['Unspecified'],['Unspecified'],China,US
N00603,North American Institute of Aviation,North American Institute of Aviation,Arizona State Teachers' College,Arizona State Teachers' College,1937,1943,['Unspecified'],['Unspecified'],US,US
N00604,Central University,中央大學,Edinburgh University,Edinburgh University,1932,1940,['Unspecified'],['Doctorate'],China,Other
N00604,Edinburgh University,Edinburgh University,Harvard University,Harvard University,1940,1943,['Doctorate'],['Unspecified'],Other,US
N00605,Fu-jen University,輔仁大學,Catholic University of America,Catholic University of America,1934,1941,['Unspecified'],['Doctorate'],China,US
N00606,Trinity College of Music,Trinity College of Music,Juilliard School of Music,Juilliard School of Music,1940,1943,['Unspecified'],['Unspecified'],Other,US
N00608,Yenching University,燕京大學,Mills College,Mills College,1935,1940,['Unspecified'],['Master'],China,US
N00608,Mills College,Mills College,University of California,University of California,1940,1943,['Master'],['Unspecified'],US,US
N00610,Yenching University,燕京大學,University of Chicago,University of Chicago,1935,1941,['Unspecified'],['Unspecified'],China,US
N00610,University of Chicago,University of Chicago,University of Minnesota,University of Minnesota,1941,1943,['Unspecified'],['Unspecified'],US,US
N00611,Jinling University,金陵大學,Oregon State College,Oregon State College,1937,1940,['Unspecified'],['Unspecified'],China,US
N00611,Oregon State College,Oregon State College,University of California,University of California,1940,1943,['Unspecified'],['Unspecified'],US,US
N00615,Sino-French University,中法大學,University of Lyon,University of Lyon,1934,1937,['Unspecified'],['Master'],China,Other
N00615,University of Lyon,University of Lyon,Chemical Institute of Lyon,Chemical Institute of Lyon,1937,1938,['Master'],['Unspecified'],Other,Other
N00615,Chemical Institute of Lyon,Chemical Institute of Lyon,University of Paris,University of Paris,1938,1941,['Unspecified'],['Doctorate'],Other,Other
N00618,Blackstone College,Blackstone College,Mount Holyoke College,Mount Holyoke College,1942,1943,['Unspecified'],['Unspecified'],US,US
N00622,Lingnan University,嶺南大學,University of Michigan,University of Michigan,1936,1943,['Unspecified'],['Unspecified'],China,US
N00623,Yenching University,燕京大學,Seton Hill College,Seton Hill College,1938,1941,['Unspecified'],['Bachelor'],China,US
N00623,Seton Hill College,Seton Hill College,Drew University,Drew University,1941,1942,['Bachelor'],['Unspecified'],US,US
N00624,Yenching University,燕京大學,Peking Union Medical College,協和醫學院,1936,1941,['Unspecified'],['Unspecified'],China,China
N00624,Peking Union Medical College,協和醫學院,Drake University,Drake University,1941,1943,['Unspecified'],['Unspecified'],China,US
N00625,New York University,New York University,DePaul University,DePaul University,1940,1943,['Bachelor'],['Unspecified'],US,US
N00626,Lenoir-Rhyne College,Lenoir-Rhyne College,Cornell University,Cornell University,1940,1941,['Bachelor'],['Unspecified'],US,US
N00626,Lenoir-Rhyne College,Lenoir-Rhyne College,New York University,New York University,1940,1941,['Bachelor'],['Master'],US,US
N00626,New York University,New York University,Cornell University,Cornell University,1941,1943,['Master'],['Unspecified'],US,US
N00627,Qilu University,齊魯大學,Yenching University,燕京大學,1930,1932,['Unspecified'],['Unspecified'],China,China
N00627,Yenching University,燕京大學,Columbia University,Columbia University,1932,1938,['Unspecified'],['Doctorate'],China,US
N00628,Tsinghua University,清華大學,Harvard University,Harvard University,1934,1943,['Unspecified'],['Unspecified'],China,US
N00629,West China University,華西大學,Yenching University,燕京大學,1930,1933,['Unspecified'],['Unspecified'],China,China
N00629,Yenching University,燕京大學,Massachusetts Institute of Technology,Massachusetts Institute of Technology,1933,1942,['Unspecified'],['Doctorate'],China,US
N00630,Mount Union College,Mount Union College,Case School of Applied Science,Case School of Applied Science,1938,1941,['Unspecified'],['Unspecified'],US,US
N00631,University of Michigan,University of Michigan,Columbia University,Columbia University,1938,1943,['Master'],['Doctorate'],US,US
N00632,Zhizhi College,持誌學院,Indiana University,Indiana University,1938,1942,['Unspecified'],['Master'],China,US
N00635,Jiaotong University,交通大學,University of Pennsylvania,University of Pennsylvania,1936,1939,['Unspecified'],['Master'],China,US
N00635,University of Pennsylvania,University of Pennsylvania,University of Southern California,University of Southern California,1939,1943,['Master'],['Unspecified'],US,US
N00637,Tsinghua University,清華大學,University of Chicago,University of Chicago,1931,1938,['Unspecified'],['Doctorate'],China,US
N00638,Drew University,Drew University,Virginia Polytechnic Institute,Virginia Polytechnic Institute,1942,1943,['Unspecified'],['Unspecified'],US,US
N00639,Lingnan University,嶺南大學,Smith College,Smith College,1929,1939,['Unspecified'],['Master'],China,US
N00639,Smith College,Smith College,University of California,University of California,1939,1943,['Master'],['Unspecified'],US,US
N00642,University of California,University of California,University of Michigan,University of Michigan,1936,1939,['Bachelor'],['Master'],US,US
N00642,University of Michigan,University of Michigan,University of Colorado,University of Colorado,1939,1943,['Master'],['Unspecified'],US,US
N00643,Yenching University,燕京大學,Mount Holyoke College,Mount Holyoke College,1940,1941,['Unspecified'],['Master'],China,US
N00644,Bennett College,Bennett College,Radcliffe College,Radcliffe College,1936,1942,['Unspecified'],['Master'],US,US
N00647,University of London,University of London,Purdue University,Purdue University,1939,1942,['Unspecified'],['Bachelor'],Other,US
N00647,Purdue University,Purdue University,University of Michigan,University of Michigan,1942,1943,['Bachelor'],['Unspecified'],US,US
N00649,Jiaotong University,交通大學,Cornell University,Cornell University,1935,1937,['Unspecified'],['Master'],China,US
N00649,Cornell University,Cornell University,Massachusetts Institute of Technology,Massachusetts Institute of Technology,1937,1938,['Master'],['Unspecified'],US,US
N00649,Massachusetts Institute of Technology,Massachusetts Institute of Technology,Cornell University,Cornell University,1938,1940,['Unspecified'],['Doctorate'],US,US
N00652,University of Paris,University of Paris,University of Lyon,University of Lyon,1941,1943,['Unspecified'],['Unspecified'],Other,Other
N00652,University of Paris,University of Paris,University of Pennsylvania,University of Pennsylvania,1941,1943,['Unspecified'],['Unspecified'],Other,US
N00653,University of London,University of London,Harvard University,Harvard University,1942,1943,['Unspecified'],['Unspecified'],Other,US
N00654,Lingnan University,嶺南大學,Bryn Mawr College,Bryn Mawr College,1941,1943,['Unspecified'],['Unspecified'],China,US
N00655,St. John's University,聖約翰大學,Curtiss-Wright Technical Institute,Curtiss-Wright Technical Institute,1920,1943,['Unspecified'],['Unspecified'],China,US
N00657,Beijing University,北京大學,Massachusetts Institute of Technology,Massachusetts Institute of Technology,1935,1943,['Unspecified'],['Unspecified'],China,US
N00658,Harbin Polytechnic Institute,Harbin Polytechnic Institute,Purdue University,Purdue University,1937,1943,['Unspecified'],['Master'],China,US
N00659,University of California,University of California,New York University,New York University,1939,1942,['Unspecified'],['Master'],US,US
N00660,Jinling University,金陵大學,University of California,University of California,1941,1943,['Unspecified'],['Master'],China,US
N00662,Yenching University,燕京大學,University of Chicago,University of Chicago,1940,1943,['Unspecified'],['Unspecified'],China,US
N00663,Qilu University,齊魯大學,Lehigh University,Lehigh University,1931,1943,['Unspecified'],['Master'],China,US
N00664,St. John's University,聖約翰大學,University of Wisconsin,University of Wisconsin,1940,1943,['Unspecified'],['Unspecified'],China,US
N00665,Yenching University,燕京大學,University of Southern California,University of Southern California,1940,1943,['Unspecified'],['Unspecified'],China,US
N00670,Zhejiang University,浙江大學,University of Pittsburgh,University of Pittsburgh,1936,1942,['Unspecified'],['Master'],China,US
N00673,University of Michigan,University of Michigan,California Institute of Technology,California Institute of Technology,1936,1940,['Bachelor'],['Master'],US,US
N00674,Yenching University,燕京大學,New York University,New York University,1938,1941,['Unspecified'],['Master'],China,US
N00677,University of Chicago,University of Chicago,Cornell University,Cornell University,1918,1920,['Unspecified'],['Master'],US,US
N00677,Cornell University,Cornell University,Princeton University,Princeton University,1920,1925,['Master'],['Doctorate'],US,US
N00678,Yenching University,燕京大學,University of Wisconsin,University of Wisconsin,1937,1940,['Unspecified'],['Bachelor'],China,US
N00679,Yenching University,燕京大學,University of Minnesota,University of Minnesota,1939,1941,['Unspecified'],['Master'],China,US
N00680,Jiaotong University,交通大學,Purdue University,Purdue University,1939,1940,['Unspecified'],['Master'],China,US
N00682,Colorado College,Colorado College,Harvard University,Harvard University,1925,1927,['Bachelor'],['Master'],US,US
N00683,Yenching University,燕京大學,University of Southern California,University of Southern California,1941,1943,['Unspecified'],['Unspecified'],China,US
N00684,Yenching University,燕京大學,Columbia University,Columbia University,1931,1943,['Unspecified'],['Doctorate'],China,US
N00686,Glasgow University,Glasgow University,Edinburgh University,Edinburgh University,1919,1922,['Unspecified'],['Doctorate'],Other,Other
N00688,Southeast University,東南大學,Springfield College,Springfield College,1926,1943,['Unspecified'],['Unspecified'],China,US
N00688,Southeast University,東南大學,State University of Iowa,State University of Iowa,1926,1943,['Unspecified'],['Unspecified'],China,US
N00689,Tsinghua University,清華大學,Manchester University,Manchester University,1936,1940,['Unspecified'],['Master'],China,US
N00689,Manchester University,Manchester University,State University of Iowa,State University of Iowa,1940,1943,['Master'],['Doctorate'],US,US
N00690,Tsinghua University,清華大學,University of Chicago,University of Chicago,1932,1943,['Unspecified'],['Unspecified'],China,US
N00691,St. John's University,聖約翰大學,University of California,University of California,1939,1942,['Unspecified'],['Unspecified'],China,US
N00692,Shanghai University,滬江大學,University of Southern California,University of Southern California,1934,1941,['Unspecified'],['Bachelor'],China,US
N00695,Northeastern University,Northeastern University,Wentworth Institute,Wentworth Institute,1934,1940,['Unspecified'],['Unspecified'],US,US
N00696,Jiaotong University,交通大學,Purdue University,Purdue University,1938,1940,['Unspecified'],"['Bachelor', 'Master']",China,US
N00697,Ginling College,金陵女子文理學院,University of Chicago,University of Chicago,1935,1941,['Unspecified'],['Unspecified'],China,US
N00699,Lingnan University,嶺南大學,University of Chicago,University of Chicago,1935,1942,['Unspecified'],['Master'],China,US
N00700,Scarritt College,Scarritt College,George Peabody College,George Peabody College,1942,1943,['Unspecified'],['Unspecified'],US,US
N00701,St. John's University,聖約翰大學,Colorado College,Colorado College,1939,1940,['Unspecified'],['Master'],China,US
N00702,Shanghai University,滬江大學,Harvard University,Harvard University,1941,1943,['Unspecified'],['Unspecified'],China,US
N00702,Shanghai University,滬江大學,University of Michigan,University of Michigan,1941,1943,['Unspecified'],['Bachelor'],China,US
N00703,Shanghai University,滬江大學,Harvard University,Harvard University,1941,1943,['Unspecified'],['Unspecified'],China,US
N00703,Shanghai University,滬江大學,University of Michigan,University of Michigan,1941,1943,['Unspecified'],['Bachelor'],China,US
N00704,Shanghai University,滬江大學,Harvard University,Harvard University,1941,1943,['Unspecified'],['Unspecified'],China,US
N00704,Shanghai University,滬江大學,University of Michigan,University of Michigan,1941,1943,['Unspecified'],['Bachelor'],China,US
N00705,West China University,華西大學,Harvard University,Harvard University,1930,1943,['Unspecified'],['Unspecified'],China,US
