student,source,source_display,target,target_display,source_year,target_year,source_levels,target_levels,source_country,target_country
N00197,Colorado School of Mines,Colorado School of Mines,Massachusetts Institute of Technology,Massachusetts Institute of Technology,1942,1943,['Unspecified'],['Unspecified'],US,US
N00199,St. John's University,聖約翰大學,University of Pennsylvania,University of Pennsylvania,1929,1938,['Unspecified'],['Master'],China,US
N00202,Jinling University,金陵大學,University of Southern California,University of Southern California,1936,1943,['Unspecified'],['Doctorate'],China,US
N00203,Yenching University,燕京大學,Western Reserve University,Western Reserve University,1936,1942,['Unspecified'],['Unspecified'],China,US
N00204,Central Army Military Academy,中央陸軍軍官學校,Royal Military College,Royal Military College,1938,1940,['Unspecified'],['Unspecified'],China,Other
N00204,Royal Military College,Royal Military College,Field Artillery School,Field Artillery School,1940,1942,['Unspecified'],['Unspecified'],Other,US
N00205,Lingnan University,嶺南大學,Pomona College,Pomona College,1926,1940,['Unspecified'],['Bachelor'],China,US
N00205,Pomona College,Pomona College,University of Denver,University of Denver,1940,1943,['Bachelor'],['Unspecified'],US,US
N00206,Yenching University,燕京大學,University of Washington,University of Washington,1941,1942,['Unspecified'],['Unspecified'],China,US
N00206,University of Washington,University of Washington,Princeton University,Princeton University,1942,1943,['Unspecified'],['Unspecified'],US,US
N00207,Westminster Choir College,Westminster Choir College,Juilliard School of Music,Juilliard School of Music,1942,1943,['Bachelor'],['Unspecified'],US,US
N00208,St. John's University,聖約翰大學,Massachusetts Institute of Technology,Massachusetts Institute of Technology,1939,1942,['Unspecified'],['Bachelor'],China,US
N00209,Jiaotong University,交通大學,Harvard University,Harvard University,1938,1939,['Unspecified'],['Master'],China,US
N00210,Northwestern University,Northwestern University,Columbia University,Columbia University,1927,1934,['Bachelor'],['Unspecified'],US,US
N00212,Asbury College,Asbury College,State University of Iowa,State University of Iowa,1941,1943,['Unspecified'],['Unspecified'],US,US
N00213,Madison College,Madison College,Michigan State College,Michigan State College,1940,1941,['Bachelor'],['Master'],US,US
N00213,Michigan State College,Michigan State College,Cornell University,Cornell University,1941,1943,['Master'],['Unspecified'],US,US
N00217,Jinan University,暨南大學,Tri-State College,Tri-State College,1940,1943,['Unspecified'],['Bachelor'],China,US
N00218,Shanghai University,滬江大學,Women's Christian Medical College,Women's Christian Medical College,1930,1935,['Unspecified'],['Doctorate'],China,Other
N00218,Women's Christian Medical College,Women's Christian Medical College,University of Pennsylvania,University of Pennsylvania,1935,1940,['Doctorate'],['Unspecified'],Other,US
N00219,St. John's University,聖約翰大學,State University of Iowa,State University of Iowa,1938,1942,['Unspecified'],['Master'],China,US
N00221,Mercer University,Mercer University,George Washington University,George Washington University,1942,1943,['Unspecified'],['Unspecified'],US,US
N00222,Lingnan University,嶺南大學,Haverford College,Haverford College,1932,1941,['Unspecified'],['Master'],China,US
N00222,Haverford College,Haverford College,Hartford Seminary Foundation,Hartford Seminary Foundation,1941,1942,['Master'],['Unspecified'],US,US
N00225,Qilu University,齊魯大學,Duke University,Duke University,1933,1939,['Unspecified'],['Unspecified'],China,US
N00225,Duke University,Duke University,University of Chicago,University of Chicago,1939,1942,['Unspecified'],['Unspecified'],US,US
N00226,Zhongshan University,中山大學,New York University,New York University,1937,1942,['Unspecified'],['Master'],China,US
N00227,LaSalle College,LaSalle College,Columbia University,Columbia University,1940,1943,['Bachelor'],['Master'],US,US
N00228,Beijing University,北京大學,University of Missouri,University of Missouri,1936,1942,['Bachelor'],['Unspecified'],China,US
N00228,University of Missouri,University of Missouri,Columbia University,Columbia University,1942,1943,['Unspecified'],['Master'],US,US
N00229,Ginling College,金陵女子文理學院,Cornell University,Cornell University,1931,1943,['Unspecified'],['Unspecified'],China,US
N00229,Ginling College,金陵女子文理學院,University of Rochester,University of Rochester,1931,1943,['Unspecified'],['Master'],China,US
N00232,University of California,University of California,Massachusetts Institute of Technology,Massachusetts Institute of Technology,1941,1943,['Bachelor'],['Master'],US,US
N00233,Guanghua University,光華大學,New York University,New York University,1934,1943,['Unspecified'],['Unspecified'],China,US
N00236,Beijing University,北京大學,Columbia University,Columbia University,1930,1940,['Unspecified'],['Unspecified'],China,US
N00238,Jiaotong University,交通大學,Massachusetts Institute of Technology,Massachusetts Institute of Technology,1937,1942,['Unspecified'],['Bachelor'],China,US
N00239,Oberlin College,Oberlin College,University of Wisconsin,University of Wisconsin,1942,1943,['Unspecified'],['Unspecified'],US,US
N00240,Southeast University,東南大學,University of California,University of California,1941,1943,['Unspecified'],['Unspecified'],China,US
N00241,Beloit College,Beloit College,University of Chicago,University of Chicago,1942,1943,['Bachelor'],['Unspecified'],US,US
N00243,Jinling University,金陵大學,Juilliard School of Music,Juilliard School of Music,1928,1939,['Unspecified'],['Unspecified'],China,US
N00243,Juilliard School of Music,Juilliard School of Music,Columbia University,Columbia University,1939,1943,['Unspecified'],['Unspecified'],US,US
N00244,Tri-State College,Tri-State College,Massachusetts Institute of Technology,Massachusetts Institute of Technology,1942,1943,['Bachelor'],['Unspecified'],US,US
N00247,Central University,中央大學,Harvard University,Harvard University,1937,1943,['Unspecified'],['Unspecified'],China,US
N00247,Central University,中央大學,University of Toronto,University of Toronto,1937,1943,['Unspecified'],['Doctorate'],China,Other
N00248,Tsinghua University,清華大學,Massachusetts Institute of Technology,Massachusetts Institute of Technology,1940,1943,['Unspecified'],['Unspecified'],China,US
N00249,Yenching University,燕京大學,College of St. Elisabeth,College of St. Elisabeth,1929,1934,['Unspecified'],['Unspecified'],China,US
N00249,College of St. Elisabeth,College of St. Elisabeth,Catholic University of America,Catholic University of America,1934,1940,['Unspecified'],['Unspecified'],US,US
N00250,Fordham University,Fordham University,Polytechnic Institute of Brooklyn,Polytechnic Institute of Brooklyn,1941,1942,['Bachelor'],['Unspecified'],US,US
N00251,Yenching University,燕京大學,University of Michigan,University of Michigan,1936,1938,['Unspecified'],['Master'],China,US
N00251,University of Michigan,University of Michigan,Georgetown University,Georgetown University,1938,1942,['Master'],['Doctorate'],US,US
N00252,Tsinghua University,清華大學,University of Missouri,University of Missouri,1920,1922,['Unspecified'],['Master'],China,US
N00252,University of Missouri,University of Missouri,Harvard University,Harvard University,1922,1926,['Master'],['Doctorate'],US,US
N00256,University of Hong Kong,University of Hong Kong,New York University,New York University,1938,1941,['Unspecified'],['Master'],Other,US
N00257,Jinling University,金陵大學,University of Chicago,University of Chicago,1938,1941,['Unspecified'],['Unspecified'],China,US
N00257,University of Chicago,University of Chicago,Iowa State College,Iowa State College,1941,1943,['Unspecified'],['Doctorate'],US,US
N00258,Jiaotong University,交通大學,Florida Southern College,Florida Southern College,1940,1943,['Unspecified'],['Bachelor'],China,US
N00258,Jiaotong University,交通大學,University of Michigan,University of Michigan,1940,1943,['Unspecified'],['Unspecified'],China,US
N00260,University of Hong Kong,University of Hong Kong,Harvard University,Harvard University,1939,1943,['Unspecified'],['Unspecified'],Other,US
N00260,University of Hong Kong,University of Hong Kong,Massachusetts Institute of Technology,Massachusetts Institute of Technology,1939,1943,['Unspecified'],['Bachelor'],Other,US
N00262,Zhongshan University,中山大學,University of Hawaii,University of Hawaii,1938,1940,['Unspecified'],['Unspecified'],China,US
N00262,University of Hawaii,University of Hawaii,University of California,University of California,1940,1943,['Unspecified'],['Unspecified'],US,US
N00264,Tsinghua University,清華大學,Georgetown University,Georgetown University,1939,1943,['Unspecified'],['Unspecified'],China,US
N00265,University of Hong Kong,University of Hong Kong,Penn State College,Penn State College,1940,1942,['Unspecified'],['Bachelor'],Other,US
N00265,Penn State College,Penn State College,Massachusetts Institute of Technology,Massachusetts Institute of Technology,1942,1943,['Bachelor'],['Unspecified'],US,US
N00266,Fujian Union University,福建協和大學,Dickinson College,Dickinson College,1929,1940,['Unspecified'],['Bachelor'],China,US
N00266,Dickinson College,Dickinson College,Penn State College,Penn State College,1940,1943,['Bachelor'],['Unspecified'],US,US
