id,from,to,weight,edge_betweenness
p1042,University of Chicago,Wheaton College,1,0.00143940891472142
p1043,University of Chicago,Yenching University,10,0.0031764942185893504
p1044,University of Chicago,University of Dubuque,1,0.0008258574982316805
p1045,University of Chicago,University of Hong Kong,1,0.001540985701852727
p1046,University of Chicago,University of Wisconsin,1,0.0010600599180268424
p1047,University of Chicago,University of Notre Dame,1,0.002846662129715441
p1048,University of Chicago,University of Michigan,6,0.0031962483736858198
p1049,University of Chicago,Yale University,1,0.000873924504623305
p1050,University of Chicago,University of Minnesota,1,0.001137117350189549
p1051,University of Chicago,Zhijiang University,1,0.0022920172618447715
p1052,University of Chicago,University of Cincinnati,1,0.0028240716874656704
p1053,University of Chicago,University of Toronto,1,0.0008426234461928022
p1054,University of Chicago,University of Kansas,1,0.000800786034043235
p1055,University of Chicago,University of Illinois,3,0.0014738763094570223
p1056,University of Chicago,University of Pennsylvania,1,0.0014240506875641801
p1057,University of Cincinnati,University of Illinois,1,0.0014525387591268289
p1058,University of Cincinnati,Zhongshan University,1,0.0012336135026169903
p1059,University of Colorado,University of London,1,0.0003843055878352034
p1060,University of Colorado,University of Illinois,1,0.0007761043946373657
p1061,University of Colorado,Zhijiang University,1,0.0004678954706468833
p1062,University of Colorado,University of Michigan,1,0.001648476148051449
p1063,University of Detroit,University of Michigan,1,0.0023247672623362583
p1064,University of Detroit,Zhongshan University,1,0.0006378814663817695
p1065,University of Dubuque,University of Michigan,1,0.0012762435549973563
p1066,University of Hawaii,Zhongshan University,1,0.00028153729914744027
p1067,University of Hawaii,University of Michigan,4,0.0009723623933757843
p1068,University of Hawaii,Yenching University,1,0.0010311775295403177
p1069,University of Hawaii,Wayne University,1,0.0006171779257193365
p1070,University of Hong Kong,University of Washington,1,0.0007712146179488763
p1071,University of Hong Kong,Wellesley College,1,0.0005679377806345603
p1072,University of Hong Kong,University of Illinois,1,0.001052234741392401
p1073,University of Illinois,University of Missouri,1,0.0005847807758370974
p1074,University of Illinois,University of Wisconsin,1,0.0009145683208154772
p1075,University of Illinois,University of Tennessee,1,0.0008713115194571569
p1076,University of Illinois,Yenching University,1,0.002603040487156387
p1077,University of Illinois,Zhongshan University,2,0.0007551870305460832
p1078,University of Illinois,University of Michigan,3,0.0023272004809870225
p1079,University of Illinois,Zhijiang University,2,0.0014688279499497944
p1080,University of Illinois,Zhejiang Provincial Technical College,1,0.0011206185186057166
p1081,University of Illinois,University of Maryland,1,0.001431938162140394
p1082,University of Illinois,University of Pennsylvania,1,0.001324732742438708
p1083,University of Iowa,University of Michigan,1,0.0032037901196471028
p1084,University of Kansas,Yenching University,2,0.0011807584863826675
p1085,University of Kansas,University of Minnesota,1,0.00041327713576863004
p1086,University of London,Yenching University,2,0.0014376398780341232
p1087,University of London,University of Michigan,1,0.0014428274750145204
p1088,University of London,Zhongshan University,1,0.0004379880063565223
p1089,University of London,Xiamen University,1,0.0005537263137139476
p1090,University of Lyon,University of Paris,2,0.00024105999294822067
p1091,University of Lyon,University of Pennsylvania,1,0.004386750747175026
p1092,University of Michigan,Yenching University,15,0.004645628647829371
p1093,University of Michigan,Zhijiang University,4,0.0033338393145997684
p1094,University of Michigan,Zhongshan University,3,0.001593468043176933
p1095,University of Michigan,Wellesley College,1,0.0018971130080574544
p1096,University of Michigan,University of Pennsylvania,2,0.0022864559006827282
p1097,University of Michigan,University of Southern California,1,0.00203751063516046
p1098,University of Michigan,Zhejiang Provincial Technical College,1,0.0027862254766686397
p1099,University of Michigan,Zhizhi College,1,0.0033716694551353954
p1100,University of Michigan,University of Washington,1,0.0025072797629084385
p1101,University of Michigan,Xiamen University,1,0.0022763379853212354
p1102,University of Michigan,Wayne University,1,0.0033114067650438857
p1103,University of Michigan,University of Minnesota,2,0.001847954308697242
p1104,University of Michigan,Yale University,1,0.0013472966637067913
p1105,University of Minnesota,Yenching University,5,0.0017622056093615213
p1106,University of Minnesota,University of Pennsylvania,1,0.0008308816823333231
p1107,University of Minnesota,Zhejiang University,1,0.0007192187121045693
p1108,University of Minnesota,University of Southern California,1,0.0008181865046792606
p1109,University of Missouri,University of Wisconsin,1,0.00026885161274438975
p1110,University of Missouri,Yenching University,4,0.000980805049772856
p1111,University of Oklahoma,Zhejiang University,1,0.0003545627390589521
p1112,University of Paris,University of Pennsylvania,1,0.0021372378950611187
p1113,University of Pennsylvania,Women's Christian Medical College,1,0.0019228339706586896
p1114,University of Pennsylvania,Yenching University,2,0.0024836535926328826
p1115,University of Pennsylvania,University of Southern California,1,0.000964598315809377
p1116,University of Pennsylvania,University of Richmond,1,0.0018921341148164814
p1117,University of Pennsylvania,Xiamen University,1,0.001090155929128156
p1118,University of Pittsburgh,Zhejiang University,1,0.00047186324093189926
p1119,University of Pittsburgh,Yenching University,1,0.004131152125294365
p1120,University of Pittsburgh,Zhongshan University,1,0.0012537918489876941
p1121,University of Rochester,Yenching University,1,0.0011077398283682886
p1122,University of Southern California,Wheaton College,1,0.0009509103636586746
p1123,University of Southern California,Zhongshan University,1,0.0008561089954003453
p1124,University of Southern California,Zhejiang University,1,0.0010152336746685113
p1125,University of Southern California,Yenching University,4,0.0023260441015160774
p1126,University of Southern California,Yale University,1,0.0005219109473515098
p1127,University of Southern California,Zhijiang University,2,0.001320945341100905
p1128,University of Southern California,Westmont College,1,0.003895146857563954
p1129,University of Tennessee,Yenching University,1,0.0019985628391648853
p1130,University of Toronto,Yenching University,2,0.000957635568474498
p1131,University of Toronto,Zhongshan University,1,0.00025450719578398555
p1132,University of Washington,Yenching University,2,0.002962373855955674
p1133,University of Washington,Wusong Merchant Shipping School,2,0.003906843995274357
p1134,University of Wisconsin,Yale University,1,0.0005677862281526567
p1135,University of Wisconsin,Yenching University,3,0.00199189211246397
p1136,Virginia Polytechnic Institute,Zhijiang University,1,0.0033540468651736526
p1137,Washington University,Yenching University,1,0.0024265923953425694
p1138,Wellesley College,Yenching University,1,0.0017542926994428038
p1139,West China University,Yenching University,2,0.0010748087511331498
p1140,Western Reserve University,Yenching University,1,0.0032632839432444327
p1141,Yale University,Zhijiang University,1,0.0007098944062572156
p1142,Yenching University,Zhongshan University,2,0.0013850982595688544
