id,label,clean_label,students,degree,degree_centrality,weighted_degree,betweenness,closeness,pagerank,community,community_size,country,city,state
Drake University,Drake University,Drake University,2,3,0.007263922518159807,3,6.996380912081799e-06,0.2796184059474932,0.0009676915766564436,3,42,United States,Des Moines,Iowa
Drew University,Drew University,Drew University,7,8,0.01937046004842615,10,0.0016459550806843038,0.29585036160490524,0.00282465955100257,6,31,United States,Madison,New Jersey
Drexel Institute of Technology,Drexel Institute of Technology,Drexel Institute of Technology,1,1,0.002421307506053269,1,0.0,0.25458188515106356,0.0005949609534075726,2,48,United States,Philadelphia,Pennsylvania
Duke University,Duke University,Duke University,5,6,0.014527845036319613,6,0.00032402268643365957,0.2810732363634531,0.001740000498913749,8,24,United States,Durham,North Carolina
Duquesne University,Duquesne University,Duquesne University,1,1,0.002421307506053269,1,0.0,0.2106953043254902,0.000717583508698236,4,41,United States,Pittsburgh,Pennsylvania
Ecole des Hautes Etudes Industrielles et Commerciales,Ecole des Hautes Etudes Industrielles et Commerciales,Ecole des Hautes Etudes Industrielles et Commerciales,1,1,0.002421307506053269,1,0.0,0.26198969946195777,0.0005865015404986731,1,62,France,Lille,
Edinburgh University,Edinburgh University,Edinburgh University,3,4,0.009685230024213076,4,0.003942235579542707,0.26770206159095983,0.0016892818334350978,9,19,United Kingdom,Edinburgh,
Elmira College,Elmira College,Elmira College,1,1,0.002421307506053269,1,0.0,0.21996040728442873,0.0006600291581672714,7,29,United States,Elmira,New York
Embry–Riddle Aeronautical University (ERAU),Aeronautical University,Embry–Riddle Aeronautical University (ERAU),1,0,0.0,0,0.0,0.0,0.00041419301394496577,27,1,United States,Miami,Florida
Emmanuel College,Emmanuel College,Emmanuel College,1,1,0.002421307506053269,1,0.0,0.24052660743123636,0.0006009256059098884,4,41,United States,Boston,Massachusetts
Emmanuel Missionary College,Emmanuel Missionary College,Emmanuel Missionary College,1,2,0.004842615012106538,2,0.0,0.22249701824158027,0.0011028136014582606,3,42,United States,Berrien Springs,Michigan
Emory University,Emory University,Emory University,1,0,0.0,0,0.0,0.0,0.00041419301394496577,28,1,United States,Atlanta,Georgia
Field Artillery School,Field Artillery School,Field Artillery School,1,2,0.004842615012106538,2,0.0,0.20097572927476076,0.001322541014416461,4,41,United States,Fort Sill,Oklahoma
Finch College,Finch College,Finch College,1,0,0.0,0,0.0,0.0,0.00041419301394496577,29,1,United States,New York,New York
Fletcher School of Law & Diplomacy,Fletcher School of Law & Diplomacy,Fletcher School of Law & Diplomacy,1,1,0.002421307506053269,1,0.0,0.276753463263605,0.0005936294411291142,3,42,United States,Medford,Massachusetts
Florida Southern College,Florida Southern College,Florida Southern College,2,3,0.007263922518159807,4,2.6877683713321667e-05,0.2901303760958952,0.0011242696646387694,3,42,United States,Lakeland,Florida
Foochow College,福州學院,Foochow College,1,2,0.004842615012106538,2,0.0,0.24826413616293977,0.0010385034433789768,1,62,China,Fuzhou,Fujian
Fordham University,Fordham University,Fordham University,5,5,0.012106537530266345,6,0.008017207644818433,0.27846534035595716,0.0033717060959476035,8,24,United States,New York,New York
Forest Park University,Forest Park University,Forest Park University,1,2,0.004842615012106538,2,0.0,0.24826413616293977,0.0010385034433789768,1,62,United States,St. Louis,Missouri
Fu-jen University,輔仁大學,Fu-jen University,11,11,0.026634382566585957,14,0.0031455820802384197,0.3104728507416994,0.003658721009766047,8,24,China,Beijing,Beijing
Fudan University,復旦大學,Fudan University,16,14,0.03389830508474576,19,0.005832627947387102,0.330209511180047,0.00445608204400014,9,19,China,Shanghai,Shanghai
