student,stage1,stage1_display,stage1_year,stage1_levels,stage1_country,stage2,stage2_display,stage2_year,stage2_levels,stage2_country,stage3,stage3_display,stage3_year,stage3_levels,stage3_country
N00931,Beijing University,北京大學,1924,['Unspecified'],China,Columbia University,Columbia University,1936,['Unspecified'],US,Canisus College,Canisus College,1942,['Unspecified'],US
N00932,Yungli Chemical Industries Limited,Yungli Chemical Industries Limited,1934,['Unspecified'],China,Stanford University,Stanford University,1940,['Master'],US,Harvard University,Harvard University,1943,['Unspecified'],US
N00942,Shanghai University,滬江大學,1939,['Unspecified'],China,Clark University,Clark University,1941,['Bachelor'],US,University of Michigan,University of Michigan,1942,['Master'],US
N00942,Clark University,Clark University,1941,['Bachelor'],US,University of Michigan,University of Michigan,1942,['Master'],US,Columbia University,Columbia University,1943,['Unspecified'],US
N00945,China College University Department,中國公學大學部,1931,['Unspecified'],China,Antioch College,Antioch College,1942,['Unspecified'],US,University of Minnesota,University of Minnesota,1943,['Unspecified'],US
N00958,Arkansas State College,Arkansas State College,1938,['Bachelor'],US,University of Cincinnati,University of Cincinnati,1941,['Unspecified'],US,University of Chicago,University of Chicago,1943,['Unspecified'],US
N00960,Shanghai University,滬江大學,1935,['Unspecified'],China,University of Pennsylvania,University of Pennsylvania,1940,['Master'],US,Columbia University,Columbia University,1941,['Unspecified'],US
N00960,University of Pennsylvania,University of Pennsylvania,1940,['Master'],US,Columbia University,Columbia University,1941,['Unspecified'],US,Clarence White School of Photography,Clarence White School of Photography,1942,['Unspecified'],US
N00973,Yenching University,燕京大學,1932,['Unspecified'],China,Peking Union Medical College,協和醫學院,1935,['Unspecified'],China,University of Michigan,University of Michigan,1938,['Master'],US
N00973,Peking Union Medical College,協和醫學院,1935,['Unspecified'],China,University of Michigan,University of Michigan,1938,['Master'],US,Columbia University,Columbia University,1941,['Unspecified'],US
N00986,Shandong University,山東大學,1937,['Unspecified'],China,Briar Cliff College,Briar Cliff College,1941,['Bachelor'],US,Alverno College of Music,Alverno College of Music,1943,['Bachelor'],US
N00986,Shandong University,山東大學,1937,['Unspecified'],China,Briar Cliff College,Briar Cliff College,1941,['Bachelor'],US,Columbia University,Columbia University,1943,['Unspecified'],US
N00987,Tsinghua University,清華大學,1935,['Unspecified'],China,State University of Iowa,State University of Iowa,1939,['Master'],US,Cornell University,Cornell University,1942,['Doctorate'],US
N00997,Huazhong University,華中大學,1938,['Unspecified'],China,Yenching University,燕京大學,1940,['Unspecified'],China,Brown University,Brown University,1943,['Unspecified'],US
N01010,Jiaotong University,交通大學,1941,['Unspecified'],China,Purdue University,Purdue University,1942,['Master'],US,Massachusetts Institute of Technology,Massachusetts Institute of Technology,1943,['Unspecified'],US
N01012,Central University,中央大學,1928,['Unspecified'],China,University of Michigan,University of Michigan,1934,['Master'],US,Columbia University,Columbia University,1943,['Unspecified'],US
N01029,Lingnan University,嶺南大學,1939,['Unspecified'],China,Columbia University,Columbia University,1942,['Unspecified'],US,Miami University,Miami University,1943,['Unspecified'],US
N01037,Nankai University,南開大學,1937,['Unspecified'],China,Pennsylvania College for Woman,Pennsylvania College for Woman,1940,['Bachelor'],US,Oberlin College,Oberlin College,1942,['Master'],US
N01045,Yenching University,燕京大學,1927,['Unspecified'],China,Peking Union Medical College,協和醫學院,1932,['Unspecified'],China,Harvard University,Harvard University,1942,['Master'],US
N01047,Xiamen University,廈門大學,1931,['Unspecified'],China,Lingnan University,嶺南大學,1934,['Unspecified'],China,University of Michigan,University of Michigan,1942,['Master'],US
N01055,Central University,中央大學,1933,['Unspecified'],China,University of Minnesota,University of Minnesota,1939,['Master'],US,Oregon State College,Oregon State College,1943,['Doctorate'],US
N01058,Central University,中央大學,1933,['Unspecified'],China,University of Minnesota,University of Minnesota,1939,['Master'],US,Oregon State College,Oregon State College,1943,['Unspecified'],US
N01062,Shanghai University,滬江大學,1929,['Unspecified'],China,University of Richmond,University of Richmond,1941,['Unspecified'],US,University of Pennsylvania,University of Pennsylvania,1943,['Master'],US
N01067,Tsinghua University,清華大學,1930,['Unspecified'],China,Yenching University,燕京大學,1934,['Unspecified'],China,Harvard University,Harvard University,1942,['Doctorate'],US
N01069,Zhongshan University,中山大學,1931,['Unspecified'],China,Yenching University,燕京大學,1933,['Unspecified'],China,University of Pittsburgh,University of Pittsburgh,1943,['Unspecified'],US
N01071,University of Hawaii,University of Hawaii,1930,['Bachelor'],US,University of Michigan,University of Michigan,1935,['Doctorate'],US,Wayne University,Wayne University,1943,['Unspecified'],US
N01072,Lingnan University,嶺南大學,1940,['Unspecified'],China,University of Hawaii,University of Hawaii,1941,['Bachelor'],US,Cornell University,Cornell University,1943,['Unspecified'],US
N01074,Nankai University,南開大學,1931,['Unspecified'],China,Columbia University,Columbia University,1940,['Master'],US,New School For Social Research,New School For Social Research,1942,['Unspecified'],US
N01078,Southeast University,東南大學,1940,['Unspecified'],China,Millsaps College,Millsaps College,1942,['Bachelor'],US,Indiana University,Indiana University,1943,['Doctorate'],US
N01080,Tsinghua University,清華大學,1933,['Unspecified'],China,Colorado School of Mines,Colorado School of Mines,1941,['Unspecified'],US,California Institute of Technology,California Institute of Technology,1943,['Unspecified'],US
N01080,Tsinghua University,清華大學,1933,['Unspecified'],China,McGill University,McGill University,1941,['Master'],Other,California Institute of Technology,California Institute of Technology,1943,['Unspecified'],US
N01081,Yenching University,燕京大學,1933,['Unspecified'],China,Tsinghua University,清華大學,1935,['Unspecified'],China,University of London,University of London,1938,['Doctorate'],Other
N01086,Yenching University,燕京大學,1937,['Unspecified'],China,University of Michigan,University of Michigan,1941,['Master'],US,University of Minnesota,University of Minnesota,1943,['Unspecified'],US
N01088,Fujian Union University,福建協和大學,1930,['Unspecified'],China,Harvard University,Harvard University,1940,['Unspecified'],US,Massachusetts Institute of Technology,Massachusetts Institute of Technology,1943,['Unspecified'],US
N01090,Yenching University,燕京大學,1930,['Unspecified'],China,Peking Union Medical College,協和醫學院,1934,['Unspecified'],China,Johns Hopkins University,Johns Hopkins University,1942,['Master'],US
N01091,St. John's University,聖約翰大學,1928,['Unspecified'],China,Yenching University,燕京大學,1931,['Unspecified'],China,Harvard University,Harvard University,1943,['Doctorate'],US
N01092,Beiyang University,北洋大學,1933,['Unspecified'],China,University of London,University of London,1937,['Master'],Other,Technical College of Hanover,Technical College of Hanover,1939,['Unspecified'],Other
N01094,Central University,中央大學,1926,['Unspecified'],China,Cambridge University,Cambridge University,1939,['Master'],Other,University of Michigan,University of Michigan,1941,['Unspecified'],US
N01098,Tri-State College,Tri-State College,1929,['Unspecified'],US,New York University,New York University,1935,['Unspecified'],US,Safair Flying School,Safair Flying School,1937,['Unspecified'],US
N01102,Southeast University,東南大學,1910,['Unspecified'],China,George Washington University,George Washington University,1919,['Master'],US,Southern College,Southern College,1930,['Doctorate'],US
