,NameID,FullName,FullName_PY,Name_WG,Gender,University,Department,Degree,Expanded,Level,discipline,Year,Page,University_zh,University_clean,City,Province_State,Country,Latitude,Longitude
1994,N00860,陳善銘,Chen Shanming,"Chen, Shan-ming",M,University of Minnesota,NA,M.S.,Master of Science,Master,Plant Pathology,1943,491,NA,University of Minnesota,Minneapolis,Minnesota,United States,44.9635,-93.2678
1995,N00860,陳善銘,Chen Shanming,"Chen, Shan-ming",M,清華大學,NA,NA,NA,NA,NA,1931,491,清華大學,Tsinghua University,Beijing,Beijing,China,39.9042,116.4074
1996,N00862,陳偉鈞,Chen Weijun,"Chen, Wei-Kiung",M,University of Chicago,NA,Ph.D.,Doctor of Philosophy,Doctor,Public Administration,1937,492,NA,University of Chicago,Chicago,Illinois,United States,41.8375,-87.6866
1997,N00862,陳偉鈞,Chen Weijun,"Chen, Wei-Kiung",M,University of Michigan,NA,M.A.,Master of Arts,Master,NA,1933,492,NA,University of Michigan,Ann Arbor,Michigan,United States,42.2759,-83.731
1998,N00862,陳偉鈞,Chen Weijun,"Chen, Wei-Kiung",M,復旦大學,NA,NA,NA,NA,NA,1931,492,復旦大學,Fudan University,Shanghai,Shanghai,China,31.2304,121.4737
1999,N00863,陳廣沅,Chen Guangyuan,"Chen, K. Y.",M,University of Illinois,NA,NA,NA,NA,Mechanical Engineering,NA,492,NA,University of Illinois,Chicago,Illinois,United States,41.8375,-87.6866
2000,N00863,陳廣沅,Chen Guangyuan,"Chen, K. Y.",M,交通大學,NA,NA,NA,NA,NA,NA,492,交通大學,Jiaotong University,Shanghai,Shanghai,China,31.2304,121.4737
2001,N00864,陳森論,Chen Senlun,"Chen, Sam L.",M,Massachusetts College of Pharmacy,NA,B.S.,Bachelor of Science,Bachelor,Pharmacy,1943,492,NA,Massachusetts College of Pharmacy,Boston,Massachusetts,United States,42.336,-71.101
2002,N00865,陳偉富,Chen Weifu,"Chun, Wei-foo",M,Rensselaer Polytechnic Institute,NA,B.S.,Bachelor of Science,Bachelor,Architecture,1942,492,NA,Rensselaer Polytechnic Institute,Troy,New York,United States,42.7354,-73.6751
2003,N00866,陳廣沅,Chen Guangyuan,"Chen, Joseph K.",M,New York University,NA,M.B.A.,Master of Business Administration,Master,Business,NA,492,NA,New York University,New York City,New York,United States,40.6943,-73.9249
2004,N00866,陳廣沅,Chen Guangyuan,"Chen, Joseph K.",M,燕京大學,NA,NA,NA,NA,NA,NA,492,燕京大學,Yenching University,Beijing,Beijing,China,39.9042,116.4074
2005,N00867,陳連富,Chen Lianfu,"Chin-gong, Stanley",M,Middlesex University,NA,M.D.,Doctor of Medicine,Doctor,Medicine,1943,492,NA,Middlesex University,Cambridge,Massachusetts,United States,42.3759,-71.1185
2006,N00868,陳華令,Chen Hualing,"Chin, Jack",M,Tulane University,NA,NA,NA,NA,Mechanical Engineering,1943,492,NA,Tulane University,New Orleans,Louisiana,United States,30.0687,-89.9288
2007,N00869,陳鴻發,Chen Hongfa,"Chinn, Stanley",M,Iowa State College,NA,B.S.,Bachelor of Science,Bachelor,NA,1942,492,NA,Iowa State College,Ames,Iowa,United States,42.0267,-93.6465
2008,N00869,陳鴻發,Chen Hongfa,"Chinn, Stanley",M,Iowa State College,NA,M.S.,Master of Science,Master,Bacteriology,1943,492,NA,Iowa State College,Ames,Iowa,United States,42.0267,-93.6465
2009,N00870,陳惠生,Chen Huisheng,"Chen, Wei-seng",M,Cornell University,NA,NA,NA,NA,Agricultural Economics,1943,492,NA,Cornell University,Ithaca,New York,United States,42.4442,-76.5032
2010,N00870,陳惠生,Chen Huisheng,"Chen, Wei-seng",M,University of Michigan,NA,M.A.,Master of Arts,Master,NA,1941,492,NA,University of Michigan,Ann Arbor,Michigan,United States,42.2759,-83.731
2011,N00870,陳惠生,Chen Huisheng,"Chen, Wei-seng",M,暨南大學,NA,NA,NA,NA,NA,1938,492,暨南大學,Jinan University,Shanghai,Shanghai,China,31.2304,121.4737
2012,N00871,陳華直,Chen Huazhi,"Chin, Jack Warren",M,Tulane University,NA,NA,NA,NA,Mechanical Engineering,1943,492,NA,Tulane University,New Orleans,Louisiana,United States,30.0687,-89.9288
2013,N00872,陳因伸,Chen Yinshen,"Chan, Yee-seen",M,Baldwin Wallace College,NA,NA,NA,NA,NA,1935,492,NA,Baldwin Wallace College,Berea,Ohio,United States,41.3732,-81.8512
2014,N00872,陳因伸,Chen Yinshen,"Chan, Yee-seen",M,New York University,NA,NA,NA,NA,Chemical Engineering,1943,492,NA,New York University,New York City,New York,United States,40.6943,-73.9249
2015,N00873,陳惠常,Chen Huichang,"Chinn, Fee-shoung",M,New York University,NA,NA,NA,NA,Mathematics,1943,492,NA,New York University,New York City,New York,United States,40.6943,-73.9249
2016,N00876,陳振輝,Chen Zhenhui,"Chan, Chun-fai",M,University of Chicago,NA,NA,NA,NA,Medicine,1943,492,NA,University of Chicago,Chicago,Illinois,United States,41.8375,-87.6866
