,NameID,FullName,FullName_PY,Name_WG,Gender,University,Department,Degree,Expanded,Level,discipline,Year,Page,University_zh,University_clean,City,Province_State,Country,Latitude,Longitude
2088,N00915,黃光普,Huang Guangpu,"Huang, Paul Kuang-pu",M,燕京大學,NA,NA,NA,NA,NA,1936,495,燕京大學,Yenching University,Beijing,Beijing,China,39.9042,116.4074
2089,N00916,黃用諏,Huang Yongzou,"Wong, Yung-chow",M,Massachusetts Institute of Technology,NA,NA,NA,NA,Mathematics,1943,495,NA,Massachusetts Institute of Technology,Cambridge,Massachusetts,United States,42.3759,-71.1185
2090,N00916,黃用諏,Huang Yongzou,"Wong, Yung-chow",M,University of London,NA,Ph.D.,Doctor of Philosophy,Doctor,Mathematics,1940,495,NA,University of London,London,NA,United Kingdom,51.521,-0.13
2091,N00916,黃用諏,Huang Yongzou,"Wong, Yung-chow",M,中山大學,NA,NA,NA,NA,NA,1935,495,中山大學,Zhongshan University,Guangzhou,Guangdong,China,23.1291,113.2644
2092,N00918,黃吉星,Huang Jixing,"Wong, Louis C.",M,Curtiss-Wright Technical Institute,NA,NA,NA,NA,Aeronautical Engineering,1943,495,NA,Curtiss-Wright Technical Institute,Glendale,California,United States,34.1425,-118.2551
2093,N00919,黃成業,Huang Chengye,"Wong, Shing Yipe",M,Columbia University,NA,M.S.,Master of Science,Master,Accounting,1933,495,NA,Columbia University,New York City,New York,United States,40.6943,-73.9249
2094,N00919,黃成業,Huang Chengye,"Wong, Shing Yipe",M,University of Washington,NA,B.A.,Bachelor of Arts,Bachelor,Business,1929,495,NA,University of Washington,Seattle,Oregon,United States,47.6211,-122.3244
2095,N00920,黃仲華,Huang Zhonghua,"Wong, Chung-wah",M,中山大學,NA,NA,NA,NA,NA,1938,495,中山大學,Zhongshan University,Guangzhou,Guangdong,China,23.1291,113.2644
2096,N00922,黃灼籌,Huang Zhuochou,"Wong, James Sech",M,New York University,NA,NA,NA,NA,Economics,1943,495,NA,New York University,New York City,New York,United States,40.6943,-73.9249
2097,N00922,黃灼籌,Huang Zhuochou,"Wong, James Sech",M,University of Michigan,NA,M.A.,Master of Arts,Master,Economics,1941,495,NA,University of Michigan,Ann Arbor,Michigan,United States,42.2759,-83.731
2098,N00922,黃灼籌,Huang Zhuochou,"Wong, James Sech",M,暨南大學,NA,NA,NA,NA,NA,1937,495,暨南大學,Jinan University,Shanghai,Shanghai,China,31.2304,121.4737
